GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Symbols
GO:0005488	2.88338549593267e-18	2.45206605651757	257.584354423756	346	12926	binding	Alkal2;Tra2a;Sf3b3;Cd276;Csnk1d;Cdk20;Lars;Rrp12;Cth;Ddb2;Prkag2;Ciapin1;Mmaa;Txlna;Acadl;Chrna1;Dscaml1;Cygb;Adcy8;Ak4;Alox8;Alpk3;Helb;Ap2a2;Apba2;Atg5;Atp6v0a1;Atp10a;Bcl6b;Mrps6;Bid;Prdm1;Bmpr1b;Btk;Casp7;Casp8;Cbfa2t3;Entpd1;Cdh15;Cdh5;Chgb;Clk1;Cnn2;Crem;Cry1;Cry2;Asap1;Dio2;Mpp3;Dnm1;Dpp6;Ecm1;Eef2k;Egf;Eif4ebp2;Epas1;Stom;Erf;Etv6;Acsl1;Fes;Fgf5;Fkbp5;Foxf2;Fli1;Fosb;Gfpt2;Gjc1;Gjb6;Gclc;Gng5;Gpc1;Grid1;H13;Hey2;Hic1;Hk1;Htr1b;Htr6;Idua;Inhba;Itm2a;Kcna4;Kcnk4;Ldlr;Lmo4;Mycl;Mfn2;Mtmr4;Lyl1;Mlph;Mas1;Fxyd3;Mertk;Mmp14;Cited2;Msh2;COX2;Nfya;Nos3;Notch4;Nsf;Sigmar1;Pcsk2;Pde9a;Pdgfb;Pecam1;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Plat;Ppm1a;Prep;Srgn;Prim1;Prom1;Pstpip2;Hexim1;Hps4;Rpia;Rps12;Sema4f;Sept8;Shc1;Clpb;Slc31a2;Sox18;Sox3;Exog;Hdac4;Vps8;Suclg2;Zfp710;Nudcd3;Syn1;Syngr2;Mtrr;Gab3;Exoc3;Satb2;Fam46a;Tacc3;Tbx3;She;Hkdc1;Ube2d1;Pik3ip1;Gemin5;Wnt9a;Tom1l2;Usp22;Tek;Rin3;Amph;Timeless;Sgtb;Ccar2;Traip;Usp10;Ulk1;Vcl;Vegfa;Vhl;Vrk1;Pi4ka;Wnt7a;Wnt7b;Xbp1;Tfb1m;Pik3c3;Ticam2;Npas4;Ercc5;Twnk;Map3k19;Ywhag;Zfp46;Nup214;Dnajc2;Tlk1;Madd;Ccm2l;Pigu;Ncoa5;Syt11;Ak5;Eva1b;Nupl2;Insig1;Gak;Zfp212;Ano5;Ndrg4;Fuk;Usp3;Rtn4rl1;Clec5a;Zfp366;Homez;Katna1;Rtp1;Adnp2;Sept3;Usp18;Lrrc8a;Bbs12;Kirrel2;Zfp668;Disc1;Rhbdl3;Fto;Map2k1;Orc5;Homer3;Slc27a3;Phf12;Sntg2;Gphn;Atp13a5;Caskin1;Pask;Vps39;Clspn;Eif4e2;Rab6b;Nbn;Srr;Sh2d3c;Depdc5;Lmcd1;Mapk8ip3;Sybu;Hist4h4;Islr2;Cdh10;Slfn5;Spata32;Rab26;Pon2;Arhgef33;Fbrsl1;Zcwpw1;Nova2;Zhx2;Apcdd1;Txnrd1;Ttpa;Icosl;Atp9b;Banp;Usp2;Gpatch11;Lpar2;Lsr;Gucy1b3;Stk19;Dll4;Stx1b;Mgst1;Med20;Aldh1a3;Ehd3;Angptl4;Sertad2;Nrip2;Cables1;Smoc2;Nisch;Nmi;Suv39h2;Pgm1;Hmg20a;Zbtb8os;Cmtm6;Atg12;Rabl3;Rtp4;Tmem100;Mesd;Cmtm3;Fam96a;Ppfia4;Ppm1f;Tyw5;Acss1;Cgrrf1;Klhdc9;Anapc10;Rhobtb1;Rhou;Mlip;Slc52a3;Trim32;Vrk2;Exoc1;Gtf3c5;Iyd;Lrfn2;Dusp16;Kctd6;Mcm9;Gypc;Cdc40;Dhx35;Osbpl3;Phf7;Ist1;Rnf135;Adpgk;Shq1;Usp36;Tmem173;Wdr43;Tppp;Zbtb8a;Ppp2r1b;Cpne4;Paqr5;Parn;Paqr8;Wdr33;Selenon;Wipi2;Cklf;Pik3r4;Eif4b;Bcl2l12;Cln6;Snx7;Clip3;Cyfip2;St5;Prdm8;Zc3h6;Sp2;Tnfrsf23;Syt13;Sytl2;Lmod1;Clec2d;Trim6;Ddx50;Wwtr1;Ssx2ip
GO:0005515	3.36579075775607e-15	2.1032879720778	174.02786377709	256	8733	protein binding	Alkal2;Tra2a;Sf3b3;Cd276;Csnk1d;Cdk20;Cth;Ddb2;Prkag2;Ciapin1;Txlna;Chrna1;Dscaml1;Adcy8;Ap2a2;Apba2;Atg5;Atp6v0a1;Bcl6b;Bid;Prdm1;Bmpr1b;Btk;Casp7;Casp8;Cbfa2t3;Entpd1;Cdh15;Cdh5;Chgb;Clk1;Cnn2;Crem;Cry1;Cry2;Asap1;Dio2;Mpp3;Dnm1;Dpp6;Ecm1;Eef2k;Egf;Eif4ebp2;Epas1;Stom;Etv6;Fes;Fgf5;Fkbp5;Foxf2;Gjc1;Gjb6;Gclc;Gng5;Gpc1;Grid1;H13;Hey2;Hic1;Hk1;Htr6;Idua;Inhba;Kcnk4;Ldlr;Lmo4;Mycl;Mfn2;Lyl1;Mlph;Fxyd3;Mmp14;Cited2;Msh2;Nfya;Nos3;Notch4;Nsf;Sigmar1;Pcsk2;Pdgfb;Pecam1;Pim1;Pim2;Pip5k1c;Prkch;Plat;Ppm1a;Srgn;Prim1;Prom1;Pstpip2;Hexim1;Hps4;Rpia;Sema4f;Shc1;Slc31a2;Sox18;Hdac4;Suclg2;Nudcd3;Syn1;Syngr2;Gab3;Exoc3;Satb2;Tacc3;Tbx3;She;Ube2d1;Pik3ip1;Wnt9a;Tom1l2;Usp22;Tek;Rin3;Amph;Timeless;Sgtb;Ccar2;Traip;Usp10;Ulk1;Vcl;Vegfa;Vhl;Vrk1;Pi4ka;Wnt7a;Wnt7b;Xbp1;Pik3c3;Ticam2;Npas4;Ercc5;Twnk;Ywhag;Dnajc2;Madd;Ccm2l;Syt11;Eva1b;Insig1;Gak;Zfp212;Ano5;Ndrg4;Usp3;Clec5a;Zfp366;Homez;Katna1;Rtp1;Sept3;Usp18;Lrrc8a;Bbs12;Kirrel2;Disc1;Map2k1;Homer3;Phf12;Sntg2;Gphn;Caskin1;Vps39;Clspn;Eif4e2;Rab6b;Nbn;Srr;Sh2d3c;Depdc5;Lmcd1;Mapk8ip3;Sybu;Hist4h4;Islr2;Spata32;Rab26;Pon2;Arhgef33;Nova2;Zhx2;Apcdd1;Txnrd1;Icosl;Banp;Usp2;Lpar2;Lsr;Gucy1b3;Dll4;Stx1b;Mgst1;Med20;Aldh1a3;Ehd3;Angptl4;Sertad2;Nrip2;Cables1;Nisch;Nmi;Suv39h2;Hmg20a;Cmtm6;Atg12;Rtp4;Tmem100;Mesd;Cmtm3;Ppfia4;Tyw5;Klhdc9;Anapc10;Rhobtb1;Mlip;Slc52a3;Trim32;Vrk2;Exoc1;Lrfn2;Dusp16;Kctd6;Mcm9;Gypc;Ist1;Rnf135;Shq1;Tmem173;Tppp;Ppp2r1b;Cpne4;Parn;Wipi2;Cklf;Pik3r4;Bcl2l12;Cln6;Snx7;Clip3;Cyfip2;St5;Prdm8;Sp2;Tnfrsf23;Syt13;Sytl2;Lmod1;Clec2d;Trim6;Wwtr1;Ssx2ip
GO:0043168	9.38874745699319e-10	2.13930229576907	51.433174900798	96	2581	anion binding	Csnk1d;Cdk20;Lars;Cth;Prkag2;Mmaa;Acadl;Adcy8;Ak4;Alpk3;Helb;Ap2a2;Atp10a;Bmpr1b;Btk;Entpd1;Clk1;Cry2;Asap1;Dnm1;Eef2k;Acsl1;Fes;Gclc;Gpc1;Hk1;Mfn2;Mertk;Msh2;Nos3;Nsf;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Sept8;Clpb;Suclg2;Mtrr;Hkdc1;Ube2d1;Tek;Amph;Ulk1;Vegfa;Vrk1;Pi4ka;Pik3c3;Ticam2;Twnk;Map3k19;Tlk1;Pigu;Ak5;Gak;Fuk;Rtn4rl1;Katna1;Sept3;Bbs12;Map2k1;Orc5;Phf12;Gphn;Atp13a5;Pask;Rab6b;Srr;Slfn5;Rab26;Txnrd1;Ttpa;Atp9b;Gucy1b3;Stk19;Mgst1;Aldh1a3;Ehd3;Smoc2;Nisch;Rabl3;Acss1;Rhobtb1;Rhou;Vrk2;Exoc1;Iyd;Mcm9;Tmem173;Wipi2;Pik3r4;Snx7;Syt13;Sytl2;Ddx50
GO:0032553	1.14560163429651e-09	2.365387011563	34.7736885710548	73	1745	ribonucleotide binding	Csnk1d;Cdk20;Lars;Prkag2;Mmaa;Adcy8;Ak4;Alpk3;Helb;Atp10a;Bmpr1b;Btk;Entpd1;Clk1;Dnm1;Eef2k;Acsl1;Fes;Gclc;Hk1;Mfn2;Mertk;Msh2;Nos3;Nsf;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Sept8;Clpb;Suclg2;Mtrr;Hkdc1;Ube2d1;Tek;Ulk1;Vrk1;Pi4ka;Pik3c3;Twnk;Map3k19;Tlk1;Ak5;Gak;Fuk;Katna1;Sept3;Bbs12;Map2k1;Orc5;Gphn;Atp13a5;Pask;Rab6b;Srr;Slfn5;Rab26;Atp9b;Gucy1b3;Stk19;Ehd3;Rabl3;Acss1;Rhobtb1;Rhou;Vrk2;Iyd;Mcm9;Tmem173;Pik3r4;Ddx50
GO:0000166	1.47263290131574e-09	2.27506932028349	39.2574019971221	79	1970	nucleotide binding	Csnk1d;Cdk20;Lars;Prkag2;Mmaa;Acadl;Adcy8;Ak4;Alpk3;Helb;Atp10a;Bmpr1b;Btk;Entpd1;Clk1;Cry1;Cry2;Dnm1;Eef2k;Acsl1;Fes;Gclc;Hk1;Mfn2;Mertk;Msh2;Nos3;Nsf;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Sept8;Clpb;Suclg2;Mtrr;Hkdc1;Ube2d1;Tek;Ulk1;Vrk1;Pi4ka;Pik3c3;Twnk;Map3k19;Tlk1;Ak5;Gak;Fuk;Katna1;Sept3;Bbs12;Map2k1;Orc5;Slc27a3;Gphn;Atp13a5;Pask;Rab6b;Srr;Slfn5;Rab26;Txnrd1;Atp9b;Gucy1b3;Stk19;Aldh1a3;Ehd3;Rabl3;Acss1;Rhobtb1;Rhou;Vrk2;Iyd;Mcm9;Tmem173;Pik3r4;Ddx50
GO:1901265	1.47263290131574e-09	2.27506932028349	39.2574019971221	79	1970	nucleoside phosphate binding	Csnk1d;Cdk20;Lars;Prkag2;Mmaa;Acadl;Adcy8;Ak4;Alpk3;Helb;Atp10a;Bmpr1b;Btk;Entpd1;Clk1;Cry1;Cry2;Dnm1;Eef2k;Acsl1;Fes;Gclc;Hk1;Mfn2;Mertk;Msh2;Nos3;Nsf;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Sept8;Clpb;Suclg2;Mtrr;Hkdc1;Ube2d1;Tek;Ulk1;Vrk1;Pi4ka;Pik3c3;Twnk;Map3k19;Tlk1;Ak5;Gak;Fuk;Katna1;Sept3;Bbs12;Map2k1;Orc5;Slc27a3;Gphn;Atp13a5;Pask;Rab6b;Srr;Slfn5;Rab26;Txnrd1;Atp9b;Gucy1b3;Stk19;Aldh1a3;Ehd3;Rabl3;Acss1;Rhobtb1;Rhou;Vrk2;Iyd;Mcm9;Tmem173;Pik3r4;Ddx50
GO:0043167	2.25315756963486e-09	1.83358431360182	105.676143548598	161	5303	ion binding	Csnk1d;Cdk20;Lars;Cth;Prkag2;Ciapin1;Mmaa;Acadl;Chrna1;Cygb;Adcy8;Ak4;Alox8;Alpk3;Helb;Ap2a2;Atp10a;Bcl6b;Prdm1;Bmpr1b;Btk;Cbfa2t3;Entpd1;Cdh15;Cdh5;Clk1;Cry2;Asap1;Dnm1;Eef2k;Egf;Epas1;Acsl1;Fes;Gclc;Gpc1;Hic1;Hk1;Htr1b;Kcna4;Ldlr;Lmo4;Mfn2;Mtmr4;Mlph;Mertk;Mmp14;Msh2;COX2;Nos3;Notch4;Nsf;Pde9a;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Ppm1a;Prim1;Sept8;Clpb;Exog;Hdac4;Vps8;Suclg2;Zfp710;Mtrr;Hkdc1;Ube2d1;Usp22;Tek;Amph;Traip;Ulk1;Vegfa;Vrk1;Pi4ka;Pik3c3;Ticam2;Ercc5;Twnk;Map3k19;Zfp46;Tlk1;Pigu;Syt11;Ak5;Nupl2;Gak;Fuk;Usp3;Rtn4rl1;Zfp366;Katna1;Adnp2;Sept3;Bbs12;Zfp668;Rhbdl3;Fto;Map2k1;Orc5;Phf12;Gphn;Atp13a5;Pask;Rab6b;Srr;Lmcd1;Cdh10;Slfn5;Rab26;Pon2;Zcwpw1;Zhx2;Txnrd1;Ttpa;Atp9b;Usp2;Gucy1b3;Stk19;Dll4;Mgst1;Aldh1a3;Ehd3;Smoc2;Nisch;Suv39h2;Pgm1;Zbtb8os;Rabl3;Fam96a;Ppm1f;Tyw5;Acss1;Cgrrf1;Rhobtb1;Rhou;Trim32;Vrk2;Exoc1;Iyd;Mcm9;Phf7;Rnf135;Adpgk;Tmem173;Zbtb8a;Parn;Selenon;Wipi2;Pik3r4;Snx7;Prdm8;Zc3h6;Sp2;Syt13;Sytl2;Trim6;Ddx50
GO:0097367	2.8199300763628e-09	2.22741118128718	40.5526969868748	80	2035	carbohydrate derivative binding	Csnk1d;Cdk20;Lars;Prkag2;Mmaa;Adcy8;Ak4;Alpk3;Helb;Atp10a;Bmpr1b;Btk;Entpd1;Clk1;Dnm1;Eef2k;Acsl1;Fes;Gfpt2;Gclc;Gpc1;Hk1;Mfn2;Mertk;Msh2;Nos3;Nsf;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Sept8;Clpb;Suclg2;Mtrr;Hkdc1;Ube2d1;Tek;Ulk1;Vegfa;Vrk1;Pi4ka;Pik3c3;Twnk;Map3k19;Tlk1;Pigu;Ak5;Gak;Fuk;Rtn4rl1;Katna1;Sept3;Bbs12;Map2k1;Orc5;Gphn;Atp13a5;Pask;Rab6b;Srr;Slfn5;Rab26;Atp9b;Gucy1b3;Stk19;Ehd3;Smoc2;Rabl3;Acss1;Rhobtb1;Rhou;Vrk2;Iyd;Mcm9;Tmem173;Pik3r4;Clip3;Ddx50
GO:0097159	7.53236657239449e-09	1.79608139500156	106.533031003358	160	5346	organic cyclic compound binding	Tra2a;Sf3b3;Csnk1d;Cdk20;Lars;Rrp12;Cth;Ddb2;Prkag2;Mmaa;Acadl;Cygb;Adcy8;Ak4;Alpk3;Helb;Atp10a;Bcl6b;Mrps6;Prdm1;Bmpr1b;Btk;Entpd1;Clk1;Crem;Cry1;Cry2;Dnm1;Eef2k;Epas1;Erf;Etv6;Acsl1;Fes;Fkbp5;Foxf2;Fli1;Fosb;Gclc;Hey2;Hic1;Hk1;Htr1b;Lmo4;Mycl;Mfn2;Lyl1;Mertk;Msh2;Nfya;Nos3;Nsf;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Prim1;Hexim1;Rps12;Sept8;Clpb;Sox18;Sox3;Exog;Hdac4;Suclg2;Zfp710;Mtrr;Satb2;Fam46a;Tbx3;Hkdc1;Ube2d1;Gemin5;Tek;Ccar2;Usp10;Ulk1;Vrk1;Pi4ka;Xbp1;Tfb1m;Pik3c3;Npas4;Ercc5;Twnk;Map3k19;Ywhag;Zfp46;Dnajc2;Tlk1;Ncoa5;Ak5;Nupl2;Gak;Fuk;Usp3;Zfp366;Homez;Katna1;Adnp2;Sept3;Bbs12;Zfp668;Map2k1;Orc5;Slc27a3;Phf12;Gphn;Atp13a5;Pask;Clspn;Eif4e2;Rab6b;Nbn;Srr;Hist4h4;Slfn5;Rab26;Fbrsl1;Nova2;Zhx2;Txnrd1;Ttpa;Atp9b;Banp;Gpatch11;Gucy1b3;Stk19;Aldh1a3;Ehd3;Suv39h2;Hmg20a;Rabl3;Tyw5;Acss1;Rhobtb1;Rhou;Trim32;Vrk2;Gtf3c5;Iyd;Mcm9;Cdc40;Dhx35;Osbpl3;Usp36;Tmem173;Wdr43;Zbtb8a;Paqr5;Parn;Paqr8;Wdr33;Pik3r4;Eif4b;Prdm8;Sp2;Ddx50
GO:0035639	7.81770027310028e-09	2.30016905171257	33.518248811756	69	1682	purine ribonucleoside triphosphate binding	Csnk1d;Cdk20;Lars;Prkag2;Mmaa;Adcy8;Ak4;Alpk3;Helb;Atp10a;Bmpr1b;Btk;Entpd1;Clk1;Dnm1;Eef2k;Acsl1;Fes;Gclc;Hk1;Mfn2;Mertk;Msh2;Nsf;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Sept8;Clpb;Suclg2;Hkdc1;Ube2d1;Tek;Ulk1;Vrk1;Pi4ka;Pik3c3;Twnk;Map3k19;Tlk1;Ak5;Gak;Fuk;Katna1;Sept3;Bbs12;Map2k1;Orc5;Gphn;Atp13a5;Pask;Rab6b;Srr;Slfn5;Rab26;Atp9b;Gucy1b3;Stk19;Ehd3;Rabl3;Acss1;Rhobtb1;Rhou;Vrk2;Mcm9;Pik3r4;Ddx50
