genes	Symbol	Entrezid	Genename
ENSMUSG00000000001	Gnai3	14679	guanine nucleotide binding protein (G protein), alpha inhibiting 3
ENSMUSG00000000028	Cdc45	12544	cell division cycle 45
ENSMUSG00000000037	Scml2	107815	Scm polycomb group protein like 2
ENSMUSG00000000056	Narf	67608	nuclear prelamin A recognition factor
ENSMUSG00000000058	Cav2	12390	caveolin 2
ENSMUSG00000000078	Klf6	23849	Kruppel-like factor 6
ENSMUSG00000000085	Scmh1	29871	sex comb on midleg homolog 1
ENSMUSG00000000088	Cox5a	12858	cytochrome c oxidase subunit Va
ENSMUSG00000000093	Tbx2	21385	T-box 2
ENSMUSG00000000120	Ngfr	18053	nerve growth factor receptor (TNFR superfamily, member 16)
ENSMUSG00000000125	Wnt3	22415	wingless-type MMTV integration site family, member 3
ENSMUSG00000000126	Wnt9a	216795	wingless-type MMTV integration site family, member 9A
ENSMUSG00000000127	Fer	14158	fer (fms/fps related) protein kinase
ENSMUSG00000000131	Xpo6	74204	exportin 6
ENSMUSG00000000134	Tfe3	209446	transcription factor E3
ENSMUSG00000000142	Axin2	12006	axin 2
ENSMUSG00000000148	Brat1	231841	BRCA1-associated ATM activator 1
ENSMUSG00000000149	Gna12	14673	guanine nucleotide binding protein, alpha 12
ENSMUSG00000000167	Pih1d2	72614	PIH1 domain containing 2
ENSMUSG00000000168	Dlat	235339	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
ENSMUSG00000000171	Sdhd	66925	succinate dehydrogenase complex, subunit D, integral membrane protein
ENSMUSG00000000184	Ccnd2	12444	cyclin D2
ENSMUSG00000000194	Gpr107	277463	G protein-coupled receptor 107
ENSMUSG00000000197	Nalcn	338370	sodium leak channel, non-selective
ENSMUSG00000000202	Btbd17	72014	BTB (POZ) domain containing 17
ENSMUSG00000000223	Drp2	13497	dystrophin related protein 2
ENSMUSG00000000247	Lhx2	16870	LIM homeobox protein 2
ENSMUSG00000000253	Gmpr	66355	guanosine monophosphate reductase
ENSMUSG00000000263	Glra1	14654	glycine receptor, alpha 1 subunit
ENSMUSG00000000266	Mid2	23947	midline 2
ENSMUSG00000000275	Trim25	217069	tripartite motif-containing 25
ENSMUSG00000000276	Dgke	56077	diacylglycerol kinase, epsilon
ENSMUSG00000000278	Scpep1	74617	serine carboxypeptidase 1
ENSMUSG00000000282	Mnt	17428	max binding protein
ENSMUSG00000000290	Itgb2	16414	integrin beta 2
ENSMUSG00000000295	Hddc2	69692	HD domain containing 2
ENSMUSG00000000296	Tpd52l1	21987	tumor protein D52-like 1
ENSMUSG00000000301	Pemt	18618	phosphatidylethanolamine N-methyltransferase
ENSMUSG00000000303	Cdh1	12550	cadherin 1
ENSMUSG00000000305	Cdh4	12561	cadherin 4
ENSMUSG00000000308	Ckmt1	12716	creatine kinase, mitochondrial 1, ubiquitous
ENSMUSG00000000317	Bcl6b	12029	B cell CLL/lymphoma 6, member B
ENSMUSG00000000320	Alox12	11684	arachidonate 12-lipoxygenase
ENSMUSG00000000325	Arvcf	11877	armadillo repeat gene deleted in velocardiofacial syndrome
ENSMUSG00000000326	Comt	12846	catechol-O-methyltransferase
ENSMUSG00000000339	Rtca	66368	RNA 3'-terminal phosphate cyclase
ENSMUSG00000000340	Dbt	13171	dihydrolipoamide branched chain transacylase E2
ENSMUSG00000000346	Dazap2	23994	DAZ associated protein 2
ENSMUSG00000000355	Mcts1	68995	malignant T cell amplified sequence 1
ENSMUSG00000000365	Rnf17	30054	ring finger protein 17
ENSMUSG00000000374	Trappc10	216131	trafficking protein particle complex 10
ENSMUSG00000000378	Ccm2	216527	cerebral cavernous malformation 2
ENSMUSG00000000384	Tbrg4	21379	transforming growth factor beta regulated gene 4
ENSMUSG00000000392	Fap	14089	fibroblast activation protein
ENSMUSG00000000399	Ndufa9	66108	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9
ENSMUSG00000000402	Egfl6	54156	EGF-like-domain, multiple 6
ENSMUSG00000000409	Lck	16818	lymphocyte protein tyrosine kinase
ENSMUSG00000000416	Cttnbp2	30785	cortactin binding protein 2
ENSMUSG00000000420	Galnt1	14423	polypeptide N-acetylgalactosaminyltransferase 1
ENSMUSG00000000439	Mkrn2	67027	makorin, ring finger protein, 2
ENSMUSG00000000440	Pparg	19016	peroxisome proliferator activated receptor gamma
ENSMUSG00000000441	Raf1	110157	v-raf-leukemia viral oncogene 1
ENSMUSG00000000489	Pdgfb	18591	platelet derived growth factor, B polypeptide
ENSMUSG00000000530	Acvrl1	11482	activin A receptor, type II-like 1
ENSMUSG00000000531	Grasp	56149	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein
ENSMUSG00000000532	Acvr1b	11479	activin A receptor, type 1B
ENSMUSG00000000538	Tom1l2	216810	target of myb1-like 2 (chicken)
ENSMUSG00000000552	Zfp385a	29813	zinc finger protein 385A
ENSMUSG00000000555	Itga5	16402	integrin alpha 5 (fibronectin receptor alpha)
ENSMUSG00000000560	Gabra2	14395	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2
ENSMUSG00000000561	Wdr77	70465	WD repeat domain 77
ENSMUSG00000000562	Adora3	11542	adenosine A3 receptor
ENSMUSG00000000563	Atp5f1	11950	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1
ENSMUSG00000000567	Sox9	20682	SRY (sex determining region Y)-box 9
ENSMUSG00000000568	Hnrnpd	11991	heterogeneous nuclear ribonucleoprotein D
ENSMUSG00000000579	Dynlt1c	100040563	dynein light chain Tctex-type 1C
ENSMUSG00000000581	C1d	57316	C1D nuclear receptor co-repressor
ENSMUSG00000000594	Gm2a	14667	GM2 ganglioside activator protein
ENSMUSG00000000600	Krit1	79264	KRIT1, ankyrin repeat containing
ENSMUSG00000000605	Clcn4	12727	chloride channel, voltage-sensitive 4
ENSMUSG00000000627	Sema4f	20355	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain
ENSMUSG00000000628	Hk2	15277	hexokinase 2
ENSMUSG00000000631	Myo18a	360013	myosin XVIIIA
ENSMUSG00000000632	Sez6	20370	seizure related gene 6
ENSMUSG00000000682	Cd52	23833	CD52 antigen
ENSMUSG00000000686	Abhd15	67477	abhydrolase domain containing 15
ENSMUSG00000000693	Loxl3	16950	lysyl oxidase-like 3
ENSMUSG00000000708	Kat2b	18519	K(lysine) acetyltransferase 2B
ENSMUSG00000000711	Rab5b	19344	RAB5B, member RAS oncogene family
ENSMUSG00000000732	Icosl	50723	icos ligand
ENSMUSG00000000738	Spg7	234847	SPG7, paraplegin matrix AAA peptidase subunit
ENSMUSG00000000739	Sult5a1	57429	sulfotransferase family 5A, member 1
ENSMUSG00000000740	Rpl13	270106	ribosomal protein L13
ENSMUSG00000000743	Chmp1a	234852	charged multivesicular body protein 1A
ENSMUSG00000000751	Rpa1	68275	replication protein A1
ENSMUSG00000000753	Serpinf1	20317	serine (or cysteine) peptidase inhibitor, clade F, member 1
ENSMUSG00000000759	Tubgcp3	259279	tubulin, gamma complex associated protein 3
ENSMUSG00000000766	Oprm1	18390	opioid receptor, mu 1
ENSMUSG00000000776	Polr3d	67065	polymerase (RNA) III (DNA directed) polypeptide D
ENSMUSG00000000782	Tcf7	21414	transcription factor 7, T cell specific
ENSMUSG00000000787	Ddx3x	13205	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked
ENSMUSG00000000792	Slc5a5	114479	solute carrier family 5 (sodium iodide symporter), member 5
ENSMUSG00000000794	Kcnn3	140493	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3
ENSMUSG00000000804	Usp32	237898	ubiquitin specific peptidase 32
ENSMUSG00000000805	Car4	12351	carbonic anhydrase 4
ENSMUSG00000000811	Txnrd3	232223	thioredoxin reductase 3
ENSMUSG00000000823	Zfp512b	269401	zinc finger protein 512B
ENSMUSG00000000826	Dnajc5	13002	DnaJ heat shock protein family (Hsp40) member C5
ENSMUSG00000000827	Tpd52l2	66314	tumor protein D52-like 2
ENSMUSG00000000838	Fmr1	14265	fragile X mental retardation syndrome 1
ENSMUSG00000000861	Bcl11a	14025	B cell CLL/lymphoma 11A (zinc finger protein)
ENSMUSG00000000869	Il4	16189	interleukin 4
ENSMUSG00000000876	Pxmp4	59038	peroxisomal membrane protein 4
ENSMUSG00000000881	Dlg3	53310	discs large MAGUK scaffold protein 3
